slug,name,url
barrage,Barrage,https://www.pyrobobs.ca/category/barrage
block-party-pack,Block Party Pack,https://www.pyrobobs.ca/category/block-party-pack
bobs-featured,Bobs Featured,https://www.pyrobobs.ca/category/bobs-featured
bombshell,Bombshell,https://www.pyrobobs.ca/category/bombshell
brazilian-shell,Brazilian Shell,https://www.pyrobobs.ca/category/brazilian-shell
cake,Cake,https://www.pyrobobs.ca/category/cake
comet,Comet,https://www.pyrobobs.ca/category/comet
component-barrage,Component Barrage,https://www.pyrobobs.ca/category/component-barrage
family-pack,Family Pack,https://www.pyrobobs.ca/category/family-pack
fanned-cake,Fanned Cake,https://www.pyrobobs.ca/category/fanned-cake
featured-products,Featured Products,https://www.pyrobobs.ca/category/featured-products
fountain,Fountain,https://www.pyrobobs.ca/category/fountain
ground-spinner,Ground Spinner,https://www.pyrobobs.ca/category/ground-spinner
mine,Mine,https://www.pyrobobs.ca/category/mine
mini-floral-bombshell,Mini Floral Bombshell,https://www.pyrobobs.ca/category/mini-floral-bombshell
noise-maker,Noise Maker,https://www.pyrobobs.ca/category/noise-maker
novelty-item,Novelty Item,https://www.pyrobobs.ca/category/novelty-item
pro-pyro-cake-fanned,Pro Pyro Cake (Fanned),https://www.pyrobobs.ca/category/pro-pyro-cake-fanned
pro-pyro-cake-vertical,Pro Pyro Cake (Vertical),https://www.pyrobobs.ca/category/pro-pyro-cake-vertical
rockets-missiles,Rockets & Missiles,https://www.pyrobobs.ca/category/rockets-missiles
roman-candle,Roman Candle,https://www.pyrobobs.ca/category/roman-candle
sparklers,Sparklers,https://www.pyrobobs.ca/category/sparklers
specials,Specials,https://www.pyrobobs.ca/category/specials
specialty-bombette,Specialty Bombette,https://www.pyrobobs.ca/category/specialty-bombette
wheel,Wheel,https://www.pyrobobs.ca/category/wheel
